R&D_Spend,Administration,Marketing_Spend,Profit,Total_Spend,ROI,State_California,State_Florida,State_New York,R&D_Spend_scaled,Administration_scaled,Marketing_Spend_scaled,Total_Spend_scaled,ROI_scaled,R&D_Marketing_Spend,R&D_Marketing_Spend_scaled
165349.2,136897.8,471784.1,192261.83,774031.1,0.248390317,FALSE,FALSE,TRUE,1.798521636,1.101436517,2.681749835,2.373015395,-1.022182645,637133.3,2.397004599
162597.7,151377.59,443898.53,191792.06,757873.82,0.253065952,TRUE,FALSE,FALSE,1.739450333,2.246296841,2.37749428,2.261392675,-0.859353939,606496.23,2.17417126
153441.51,101145.55,407934.54,191050.39,662521.6,0.288368545,FALSE,TRUE,FALSE,1.542878257,-1.725353964,1.985096214,1.602650975,0.37005654,561376.05,1.845997568
144372.41,118671.85,383199.62,182901.99,646243.88,0.283023168,FALSE,FALSE,TRUE,1.348175896,-0.339618017,1.715216961,1.490196194,0.183904116,527572.03,1.600129974
142107.34,91391.77,366168.42,166187.94,599667.53,0.277133464,FALSE,TRUE,FALSE,1.299547644,-2.496547174,1.52939192,1.168423046,-0.021204417,508275.76,1.459781949
131876.9,99814.71,362861.36,156991.12,594552.97,0.264049005,FALSE,FALSE,TRUE,1.079912749,-1.830578274,1.493309051,1.133089061,-0.47686986,494738.26,1.361319324
134615.46,147198.87,127716.82,156122.51,409531.15,0.381222552,TRUE,FALSE,FALSE,1.138706246,1.915901806,-1.072320143,-0.145135907,3.603691211,262332.28,-0.32904469
130298.13,145530.06,323876.68,155752.6,599704.87,0.259715416,FALSE,TRUE,FALSE,1.04601851,1.78395553,1.067952659,1.16868101,-0.627786791,454174.81,1.066288206
120542.52,148718.95,311613.29,152211.77,580874.76,0.262038877,FALSE,FALSE,TRUE,0.836577628,2.036088582,0.934148525,1.038593019,-0.546872414,432155.81,0.906136883
123334.88,108679.17,304981.62,149759.96,536995.67,0.278884856,TRUE,FALSE,FALSE,0.896526144,-1.129700115,0.861791301,0.735453917,0.039787678,428316.5,0.878212337
101913.08,110594.11,229160.95,146121.95,441668.14,0.330841047,FALSE,TRUE,FALSE,0.43662659,-0.978293304,0.034522574,0.076882788,1.849158632,331074.03,0.170936337
100671.96,91790.61,249744.55,144259.4,442207.12,0.326225864,TRUE,FALSE,FALSE,0.409981278,-2.465012456,0.259107355,0.080606336,1.688435193,350416.51,0.311620463
93863.75,127320.38,249839.44,141585.52,471023.57,0.300591157,FALSE,TRUE,FALSE,0.263817429,0.344187402,0.260142686,0.279685049,0.795708199,343703.19,0.26279231
91992.39,135495.07,252664.93,134307.35,480152.39,0.279718174,TRUE,FALSE,FALSE,0.223641644,0.990528146,0.290971213,0.342751587,0.068807946,344657.32,0.269732007
119943.24,156547.42,256512.92,132602.65,533003.58,0.248783789,FALSE,TRUE,FALSE,0.823711827,2.655055066,0.332956093,0.707874526,-1.008480007,376456.16,0.501015276
114523.61,122616.84,261776.23,129917.04,498916.68,0.260398269,FALSE,FALSE,TRUE,0.707359074,-0.027703097,0.390383333,0.47238486,-0.604006482,376299.84,0.49987831
78013.11,121597.55,264346.06,126992.93,463956.72,0.273717191,TRUE,FALSE,FALSE,-0.076476209,-0.108294368,0.418422389,0.23086365,-0.14017592,342359.17,0.253016817
94657.16,145077.58,282574.31,125370.37,522309.05,0.240031012,FALSE,FALSE,TRUE,0.280850961,1.748179708,0.617308275,0.633991266,-1.313294869,377231.47,0.506654357
91749.16,114175.79,294919.57,124266.9,500844.52,0.248114724,FALSE,TRUE,FALSE,0.218419797,-0.695103884,0.752005681,0.48570336,-1.031780129,386668.73,0.575294608
86419.7,153514.11,0,122776.86,239933.81,0.511711376,FALSE,FALSE,TRUE,0.104002882,2.415223116,-2.465820506,-1.316800712,8.147955931,86419.7,-1.608513896
76253.86,113867.3,298664.47,118474.03,488785.63,0.242384438,TRUE,FALSE,FALSE,-0.114245131,-0.719494981,0.792865761,0.402394406,-1.231336989,374918.33,0.48983014
78389.47,153773.43,299737.29,111313.02,531900.19,0.209274263,FALSE,FALSE,TRUE,-0.068396226,2.435726533,0.80457115,0.700251746,-2.384396658,378126.76,0.513166092
73994.56,122782.75,303319.26,110352.25,500096.57,0.220661881,FALSE,TRUE,FALSE,-0.162749508,-0.014585243,0.843653524,0.480536141,-1.98782358,377313.82,0.507253315
67532.53,105751.03,304768.73,108733.99,478052.29,0.227452085,FALSE,TRUE,FALSE,-0.301481301,-1.361216685,0.859468488,0.328243027,-1.751355192,372301.26,0.470795342
